labels,log
3,"<116>Apr 21 17:03:37 172.25.164.254 CEF:0|Fortinet|Fortigate|v6.0.9|28705|utm:app-ctrl app-ctrl-all block|4|deviceExternalId=FG5H0E5819908089 FTNTFGTlogid=1059028705 cat=utm:app-ctrl FTNTFGTsubtype=app-ctrl FTNTFGTeventtype=app-ctrl-all FTNTFGTlevel=warning FTNTFGTvd=vlab FTNTFGTeventtime=1650553417 FTNTFGTappid=40169 src=172.25.105.60 dst=142.250.186.74 spt=52221 dpt=443 deviceInboundInterface=vmvdi FTNTFGTsrcintfrole=lan deviceOutboundInterface=root-vlab1 FTNTFGTdstintfrole=undefined proto=17 app=udp/443 deviceDirection=0 FTNTFGTpolicyid=8 externalId=3341679198 FTNTFGTapplist=g-default FTNTFGTappcat=Network.Service FTNTFGTapp=QUIC act=block FTNTFGTincidentserialno=502281975 msg=Network.Service: QUIC, FTNTFGTapprisk=low"
3,"<116>Apr 21 17:03:37 172.25.164.254 CEF:0|Fortinet|Fortigate|v6.0.9|28705|utm:app-ctrl app-ctrl-all block|4|deviceExternalId=FG5H0E5819908089 FTNTFGTlogid=1059028705 cat=utm:app-ctrl FTNTFGTsubtype=app-ctrl FTNTFGTeventtype=app-ctrl-all FTNTFGTlevel=warning FTNTFGTvd=vlab FTNTFGTeventtime=1650553417 FTNTFGTappid=40169 src=172.25.105.60 dst=142.250.186.74 spt=52221 dpt=443 deviceInboundInterface=vmvdi FTNTFGTsrcintfrole=lan deviceOutboundInterface=root-vlab1 FTNTFGTdstintfrole=undefined proto=17 app=udp/443 deviceDirection=0 FTNTFGTpolicyid=8 externalId=3341679198 FTNTFGTapplist=g-default FTNTFGTappcat=Network.Service FTNTFGTapp=QUIC act=block FTNTFGTincidentserialno=502281976 msg=Network.Service: QUIC, FTNTFGTapprisk=low"
3,<117>Apr 21 17:03:37 172.25.164.254 CEF:0|Fortinet|Fortigate|v6.0.9|00013|traffic:forward accept|3|deviceExternalId=FG5H0E5819908089 FTNTFGTlogid=0000000013 cat=traffic:forward FTNTFGTsubtype=forward FTNTFGTlevel=notice FTNTFGTvd=vlab FTNTFGTeventtime=1650553417 src=172.30.104.1 shost=WIN-7OCV2UEAUKA spt=56473 deviceInboundInterface=vmservers FTNTFGTsrcintfrole=lan dst=208.91.112.53 dpt=53 deviceOutboundInterface=root-vlab1 FTNTFGTdstintfrole=undefined FTNTFGTpoluuid=d0d4bdd2-4d95-51ea-f827-483b4dae641a externalId=3341615836 proto=17 act=accept FTNTFGTpolicyid=7 FTNTFGTpolicytype=policy app=DNS FTNTFGTdstcountry=Canada FTNTFGTsrccountry=Reserved FTNTFGTtrandisp=snat sourceTranslatedAddress=84.19.71.108 sourceTranslatedPort=56473 FTNTFGTappid=16195 FTNTFGTapp=DNS FTNTFGTappcat=Network.Service FTNTFGTapprisk=elevated FTNTFGTapplist=g-default FTNTFGTduration=191 out=164 in=82 FTNTFGTsentpkt=2 FTNTFGTrcvdpkt=1 FTNTFGTdevtype=Windows PC FTNTFGTdevcategory=Windows Device FTNTFGTosname=Windows 10 / 2016 FTNTFGTmastersrcmac=00:0c:29:87:df:ae FTNTFGTsrcmac=00:0c:29:87:df:ae FTNTFGTsrcserver=1
3,<117>Apr 21 17:03:37 172.25.164.254 CEF:0|Fortinet|Fortigate|v6.0.9|00013|traffic:forward accept|3|deviceExternalId=FG5H0E5819908089 FTNTFGTlogid=0000000013 cat=traffic:forward FTNTFGTsubtype=forward FTNTFGTlevel=notice FTNTFGTvd=vlab FTNTFGTeventtime=1650553417 src=172.30.104.1 shost=WIN-7OCV2UEAUKA spt=54142 deviceInboundInterface=vmservers FTNTFGTsrcintfrole=lan dst=208.91.112.52 dpt=53 deviceOutboundInterface=root-vlab1 FTNTFGTdstintfrole=undefined FTNTFGTpoluuid=d0d4bdd2-4d95-51ea-f827-483b4dae641a externalId=3341567056 proto=17 act=accept FTNTFGTpolicyid=7 FTNTFGTpolicytype=policy app=DNS FTNTFGTdstcountry=Canada FTNTFGTsrccountry=Reserved FTNTFGTtrandisp=snat sourceTranslatedAddress=84.19.71.108 sourceTranslatedPort=54142 FTNTFGTappid=16195 FTNTFGTapp=DNS FTNTFGTappcat=Network.Service FTNTFGTapprisk=elevated FTNTFGTapplist=g-default FTNTFGTduration=358 out=189 in=267 FTNTFGTsentpkt=2 FTNTFGTrcvdpkt=2 FTNTFGTsentdelta=82 FTNTFGTrcvddelta=144 FTNTFGTdevtype=Windows PC FTNTFGTdevcategory=Windows Device FTNTFGTosname=Windows 10 / 2016 FTNTFGTmastersrcmac=00:0c:29:87:df:ae FTNTFGTsrcmac=00:0c:29:87:df:ae FTNTFGTsrcserver=1
3,<117>Apr 21 17:03:37 172.25.164.254 CEF:0|Fortinet|Fortigate|v6.0.9|00013|traffic:forward accept|3|deviceExternalId=FG5H0E5819908089 FTNTFGTlogid=0000000013 cat=traffic:forward FTNTFGTsubtype=forward FTNTFGTlevel=notice FTNTFGTvd=vlab FTNTFGTeventtime=1650553417 src=172.30.104.1 shost=WIN-7OCV2UEAUKA spt=55515 deviceInboundInterface=vmservers FTNTFGTsrcintfrole=lan dst=208.91.112.52 dpt=53 deviceOutboundInterface=root-vlab1 FTNTFGTdstintfrole=undefined FTNTFGTpoluuid=d0d4bdd2-4d95-51ea-f827-483b4dae641a externalId=3341522540 proto=17 act=accept FTNTFGTpolicyid=7 FTNTFGTpolicytype=policy app=DNS FTNTFGTdstcountry=Canada FTNTFGTsrccountry=Reserved FTNTFGTtrandisp=snat sourceTranslatedAddress=84.19.71.108 sourceTranslatedPort=55515 FTNTFGTappid=16195 FTNTFGTapp=DNS FTNTFGTappcat=Network.Service FTNTFGTapprisk=elevated FTNTFGTapplist=g-default FTNTFGTduration=519 out=381 in=573 FTNTFGTsentpkt=4 FTNTFGTrcvdpkt=4 FTNTFGTsentdelta=107 FTNTFGTrcvddelta=123 FTNTFGTdevtype=Windows PC FTNTFGTdevcategory=Windows Device FTNTFGTosname=Windows 10 / 2016 FTNTFGTmastersrcmac=00:0c:29:87:df:ae FTNTFGTsrcmac=00:0c:29:87:df:ae FTNTFGTsrcserver=1
3,"<118>Apr 21 17:03:36 172.25.164.254 CEF:0|Fortinet|Fortigate|v6.0.9|28704|utm:app-ctrl app-ctrl-all pass|2|deviceExternalId=FG5H0E5819908089 FTNTFGTlogid=1059028704 cat=utm:app-ctrl FTNTFGTsubtype=app-ctrl FTNTFGTeventtype=app-ctrl-all FTNTFGTlevel=information FTNTFGTvd=vlab FTNTFGTeventtime=1650553416 FTNTFGTappid=40568 src=172.25.105.60 dst=18.156.16.255 spt=59953 dpt=443 deviceInboundInterface=vmvdi FTNTFGTsrcintfrole=lan deviceOutboundInterface=root-vlab1 FTNTFGTdstintfrole=undefined proto=6 app=HTTPS deviceDirection=0 FTNTFGTpolicyid=8 externalId=3341678855 FTNTFGTapplist=g-default FTNTFGTappcat=Web.Client FTNTFGTapp=HTTPS.BROWSER act=pass dhost=www.fortinet.com FTNTFGTincidentserialno=502281957 request=/ msg=Web.Client: HTTPS.BROWSER, FTNTFGTapprisk=medium"
3,"<116>Apr 21 17:03:37 172.25.164.254 CEF:0|Fortinet|Fortigate|v6.0.9|28705|utm:app-ctrl app-ctrl-all block|4|deviceExternalId=FG5H0E5819908089 FTNTFGTlogid=1059028705 cat=utm:app-ctrl FTNTFGTsubtype=app-ctrl FTNTFGTeventtype=app-ctrl-all FTNTFGTlevel=warning FTNTFGTvd=vlab FTNTFGTeventtime=1650553417 FTNTFGTappid=40169 src=172.25.105.60 dst=142.250.186.74 spt=52221 dpt=443 deviceInboundInterface=vmvdi FTNTFGTsrcintfrole=lan deviceOutboundInterface=root-vlab1 FTNTFGTdstintfrole=undefined proto=17 app=udp/443 deviceDirection=0 FTNTFGTpolicyid=8 externalId=3341679198 FTNTFGTapplist=g-default FTNTFGTappcat=Network.Service FTNTFGTapp=QUIC act=block FTNTFGTincidentserialno=502281982 msg=Network.Service: QUIC, FTNTFGTapprisk=low"
3,"<116>Apr 21 17:03:37 172.25.164.254 CEF:0|Fortinet|Fortigate|v6.0.9|28705|utm:app-ctrl app-ctrl-all block|4|deviceExternalId=FG5H0E5819908089 FTNTFGTlogid=1059028705 cat=utm:app-ctrl FTNTFGTsubtype=app-ctrl FTNTFGTeventtype=app-ctrl-all FTNTFGTlevel=warning FTNTFGTvd=vlab FTNTFGTeventtime=1650553417 FTNTFGTappid=40169 src=172.25.105.60 dst=142.250.186.74 spt=52221 dpt=443 deviceInboundInterface=vmvdi FTNTFGTsrcintfrole=lan deviceOutboundInterface=root-vlab1 FTNTFGTdstintfrole=undefined proto=17 app=udp/443 deviceDirection=0 FTNTFGTpolicyid=8 externalId=3341679198 FTNTFGTapplist=g-default FTNTFGTappcat=Network.Service FTNTFGTapp=QUIC act=block FTNTFGTincidentserialno=502281983 msg=Network.Service: QUIC, FTNTFGTapprisk=low"
3,<117>Apr 21 17:03:37 172.25.164.254 CEF:0|Fortinet|Fortigate|v6.0.9|00013|traffic:forward close|3|deviceExternalId=FG5H0E5819908089 FTNTFGTlogid=0000000013 cat=traffic:forward FTNTFGTsubtype=forward FTNTFGTlevel=notice FTNTFGTvd=vlab FTNTFGTeventtime=1650553417 src=172.25.105.173 shost=DESKTOP-SL05D8O spt=63506 deviceInboundInterface=vmvdi FTNTFGTsrcintfrole=lan dst=37.252.173.38 dpt=443 deviceOutboundInterface=root-vlab1 FTNTFGTdstintfrole=undefined FTNTFGTpoluuid=f5dcdbc8-4d95-51ea-d190-ae661cbd2acd externalId=3341676798 proto=6 act=close FTNTFGTpolicyid=8 FTNTFGTpolicytype=policy app=HTTPS FTNTFGTdstcountry=Germany FTNTFGTsrccountry=Reserved FTNTFGTtrandisp=snat sourceTranslatedAddress=84.19.71.108 sourceTranslatedPort=63506 FTNTFGTappid=40568 FTNTFGTapp=HTTPS.BROWSER FTNTFGTappcat=Web.Client FTNTFGTapprisk=medium FTNTFGTapplist=g-default FTNTFGTduration=6 out=962 in=400 FTNTFGTsentpkt=7 FTNTFGTrcvdpkt=6 FTNTFGTutmaction=allow FTNTFGTcountapp=2 FTNTFGTdevtype=Windows PC FTNTFGTdevcategory=Windows Device FTNTFGTosname=Windows 10 / 2016 FTNTFGTunauthuser=VDICL2016$ FTNTFGTunauthusersource=kerberos FTNTFGTmastersrcmac=00:50:56:b9:bd:70 FTNTFGTsrcmac=00:50:56:b9:bd:70 FTNTFGTsrcserver=1
3,<117>Apr 21 17:03:37 172.25.164.254 CEF:0|Fortinet|Fortigate|v6.0.9|00013|traffic:forward accept|3|deviceExternalId=FG5H0E5819908089 FTNTFGTlogid=0000000013 cat=traffic:forward FTNTFGTsubtype=forward FTNTFGTlevel=notice FTNTFGTvd=vlab FTNTFGTeventtime=1650553417 src=172.30.104.2 shost=WIN-UI0CQDNOR44 spt=63924 deviceInboundInterface=vmservers FTNTFGTsrcintfrole=lan dst=208.91.112.52 dpt=53 deviceOutboundInterface=root-vlab1 FTNTFGTdstintfrole=undefined FTNTFGTpoluuid=d0d4bdd2-4d95-51ea-f827-483b4dae641a externalId=3341617480 proto=17 act=accept FTNTFGTpolicyid=7 FTNTFGTpolicytype=policy app=DNS FTNTFGTdstcountry=Canada FTNTFGTsrccountry=Reserved FTNTFGTtrandisp=snat sourceTranslatedAddress=84.19.71.108 sourceTranslatedPort=63924 FTNTFGTappid=16195 FTNTFGTapp=DNS FTNTFGTappcat=Network.Service FTNTFGTapprisk=elevated FTNTFGTapplist=g-default FTNTFGTduration=185 out=164 in=110 FTNTFGTsentpkt=2 FTNTFGTrcvdpkt=1 FTNTFGTdevtype=Windows PC FTNTFGTdevcategory=Windows Device FTNTFGTosname=Windows 10 / 2016 FTNTFGTmastersrcmac=00:0c:29:89:2e:1f FTNTFGTsrcmac=00:0c:29:89:2e:1f FTNTFGTsrcserver=1
